miRNA_DGEs,Mix_model,Cross_CV_model
age_at_index,age_at_index,age_at_index
ajcc_pathologic_stage,ajcc_pathologic_stage,ajcc_pathologic_stage
ajcc_pathologic_t,ajcc_pathologic_t,ajcc_pathologic_t
race_black,hsa-let-7g,race_white
race_white,hsa-mir-101-1,hsa-let-7d
hsa-let-7g,hsa-mir-106a,hsa-let-7g
hsa-mir-101-1,hsa-mir-1307,hsa-mir-101-1
hsa-mir-101-2,hsa-mir-130b,hsa-mir-106a
hsa-mir-103a-1,hsa-mir-134,hsa-mir-1245a
hsa-mir-103a-2,hsa-mir-146b,hsa-mir-126
hsa-mir-106a,hsa-mir-184,hsa-mir-1266
hsa-mir-10a,hsa-mir-196a-2,hsa-mir-130b
hsa-mir-10b,hsa-mir-203a,hsa-mir-132
hsa-mir-125a,hsa-mir-205,hsa-mir-134
hsa-mir-1266,hsa-mir-21,hsa-mir-136
hsa-mir-130a,hsa-mir-22,hsa-mir-139
hsa-mir-143,hsa-mir-2355,hsa-mir-146b
hsa-mir-146a,hsa-mir-23b,hsa-mir-149
hsa-mir-149,hsa-mir-26b,hsa-mir-152
hsa-mir-151a,hsa-mir-301a,hsa-mir-181a-2
hsa-mir-17,hsa-mir-32,hsa-mir-183
hsa-mir-182,hsa-mir-337,hsa-mir-184
hsa-mir-18a,hsa-mir-3614,hsa-mir-187
hsa-mir-193a,hsa-mir-4668,hsa-mir-190b
hsa-mir-195,hsa-mir-485,hsa-mir-191
hsa-mir-196a-1,hsa-mir-574,hsa-mir-195
hsa-mir-196a-2,hsa-mir-582,hsa-mir-196a-2
hsa-mir-197,hsa-mir-590,hsa-mir-19a
hsa-mir-19b-1,hsa-mir-625,hsa-mir-19b-1
hsa-mir-19b-2,hsa-mir-664b,hsa-mir-200b
hsa-mir-200b,hsa-mir-7-1,hsa-mir-200c
hsa-mir-22,hsa-mir-92a-1,hsa-mir-203a
hsa-mir-221,hsa-mir-93,hsa-mir-205
hsa-mir-222,,hsa-mir-21
hsa-mir-29c,,hsa-mir-210
hsa-mir-30d,,hsa-mir-218-1
hsa-mir-338,,hsa-mir-22
hsa-mir-34a,,hsa-mir-2355
hsa-mir-34c,,hsa-mir-23b
hsa-mir-3613,,hsa-mir-25
hsa-mir-3615,,hsa-mir-26b
hsa-mir-369,,hsa-mir-27b
hsa-mir-381,,hsa-mir-32
hsa-mir-495,,hsa-mir-330
hsa-mir-501,,hsa-mir-337
hsa-mir-505,,hsa-mir-3605
hsa-mir-542,,hsa-mir-3607
hsa-mir-574,,hsa-mir-363
hsa-mir-625,,hsa-mir-369
hsa-mir-652,,hsa-mir-370
hsa-mir-653,,hsa-mir-376c
hsa-mir-664a,,hsa-mir-381
hsa-mir-7-1,,hsa-mir-423
hsa-mir-92a-1,,hsa-mir-424
hsa-mir-92a-2,,hsa-mir-432
hsa-mir-99a,,hsa-mir-4326
,,hsa-mir-450a-1
,,hsa-mir-4668
,,hsa-mir-4677
,,hsa-mir-485
,,hsa-mir-495
,,hsa-mir-503
,,hsa-mir-5683
,,hsa-mir-574
,,hsa-mir-582
,,hsa-mir-584
,,hsa-mir-590
,,hsa-mir-616
,,hsa-mir-664b
,,hsa-mir-708
,,hsa-mir-7-1
,,hsa-mir-744
,,hsa-mir-758
,,hsa-mir-92a-1
,,hsa-mir-92a-2
,,hsa-mir-93
,,hsa-mir-95
